Year,State,PHEV sales,BEV sales
2022,AL,1425.0,2414.999999999999
2023,AL,2044.0,3222.999999999998
2024,AL,2663.0,4030.9999999999973
2025,AL,3282.0,4838.999999999996
2026,AL,3901.0,5646.999999999995
2027,AL,4520.0,6454.9999999999945
2028,AL,5139.0,7262.999999999994
2029,AL,5758.0,8070.999999999993
2030,AL,6377.0,8878.99999999999
2031,AL,6996.0,9686.999999999989
2032,AL,7615.0,10494.999999999987
2033,AL,8234.0,11302.999999999985
2034,AL,8853.0,12110.999999999984
2035,AL,9472.0,12918.999999999982
2036,AL,10091.0,13726.99999999998
2037,AL,10710.0,14534.999999999978
2038,AL,11329.0,15342.999999999976
2039,AL,11948.0,16150.999999999975
2040,AL,12567.0,16958.999999999975
2041,AL,13186.0,17766.999999999975
2022,AR,802.0000000000023,1500.9999999999968
2023,AR,1150.0000000000045,2087.9999999999936
2024,AR,1498.0000000000068,2674.9999999999905
2025,AR,1846.000000000009,3261.9999999999873
2026,AR,2194.0000000000114,3848.999999999984
2027,AR,2542.0000000000136,4435.999999999981
2028,AR,2890.000000000016,5022.999999999978
2029,AR,3238.000000000018,5609.9999999999745
2030,AR,3586.0000000000205,6196.999999999971
2031,AR,3934.0000000000227,6783.999999999967
2032,AR,4282.0000000000255,7370.999999999964
2033,AR,4630.000000000028,7957.99999999996
2034,AR,4978.000000000031,8544.999999999956
2035,AR,5326.000000000034,9131.999999999953
2036,AR,5674.000000000036,9718.999999999949
2037,AR,6022.000000000039,10305.999999999945
2038,AR,6370.000000000042,10892.999999999942
2039,AR,6718.000000000045,11479.999999999938
2040,AR,7066.000000000047,12066.999999999935
2041,AR,7414.00000000005,12653.99999999993
2022,IL,7379.999999999999,16859.0
2023,IL,10419.999999999998,21967.0
2024,IL,13459.999999999996,27075.0
2025,IL,16499.999999999996,32183.0
2026,IL,19539.999999999996,37291.0
2027,IL,22579.999999999996,42399.0
2028,IL,25619.999999999996,47507.0
2029,IL,28659.999999999996,52615.0
2030,IL,31699.999999999996,57723.0
2031,IL,34739.99999999999,62831.0
2032,IL,37779.99999999999,67939.0
2033,IL,40819.99999999999,73047.0
2034,IL,43859.99999999999,78155.0
2035,IL,46899.99999999999,83263.0
2036,IL,49939.99999999999,88371.0
2037,IL,52979.99999999999,93479.0
2038,IL,56019.99999999999,98587.0
2039,IL,59059.99999999999,103695.0
2040,IL,62099.99999999999,108803.0
2041,IL,65139.99999999999,113911.0
2022,IN,512.0,4896.0
2023,IN,512.0,6488.0
2024,IN,512.0,8080.0
2025,IN,512.0,9672.0
2026,IN,512.0,11264.0
2027,IN,512.0,12856.0
2028,IN,512.0,14448.0
2029,IN,512.0,16040.0
2030,IN,512.0,17632.0
2031,IN,512.0,19224.0
2032,IN,512.0,20816.0
2033,IN,512.0,22408.0
2034,IN,512.0,24000.0
2035,IN,512.0,25592.0
2036,IN,512.0,27184.0
2037,IN,512.0,28776.0
2038,IN,512.0,30368.0
2039,IN,512.0,31960.0
2040,IN,512.0,33552.0
2041,IN,512.0,35144.0
2022,IA,1426.0000000000023,2201.0000000000005
2023,IA,2046.0000000000045,3027.000000000001
2024,IA,2666.000000000007,3853.0000000000014
2025,IA,3286.000000000009,4679.000000000002
