Vehicle,Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Honda Insight,HEV,17.0,3788.0,4726.0,2216.0,1168.0,583.0,666.0,722.0,3.0,,20572.0,20962.0,15549.0,5846.0,4802.0,3965.0,1458.0,75.0,3.0,12510.0,23686.0
Toyota Prius,HEV,0.0,5562.0,15556.0,20119.0,24627.0,53991.0,107897.0,106971.0,181221.0,158886.0,139682.0,140928.0,136463.0,223906.0,222140.0,194108.0,180603.0,134155.0,87725.0,59995.0,47862.0
Honda Civic,HEV,0.0,0.0,0.0,13707.0,21771.0,26013.0,25864.0,31253.0,32575.0,31297.0,15119.0,7336.0,4703.0,7156.0,7719.0,5070.0,4887.0,896.0,65.0,6.0,0.0
Ford Escape/Mercury Mariner,HEV,0.0,0.0,0.0,0.0,0.0,2993.0,15960.0,22549.0,25108.0,19522.0,16480.0,12088.0,10089.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honda Accord,HEV,0.0,0.0,0.0,0.0,0.0,653.0,16826.0,5598.0,3405.0,198.0,1.0,,,,996.0,13977.0,11065.0,9179.0,22008.0,17188.0,23817.0
Toyota Highlander,HEV,0.0,0.0,0.0,0.0,0.0,0.0,17989.0,31485.0,22052.0,19391.0,11086.0,7456.0,4549.0,5921.0,5070.0,3621.0,4015.0,5976.0,16864.0,14513.0,18248.0
Lexus RX 450h,HEV,0.0,0.0,0.0,0.0,0.0,0.0,20674.0,20161.0,17291.0,15200.0,14464.0,15119.0,10723.0,12223.0,11307.0,9351.0,7722.0,8561.0,8568.0,15656.0,16116.0
Toyota Camry,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31341.0,54477.0,46272.0,22887.0,14587.0,9241.0,45656.0,44448.0,39515.0,30640.0,22227.0,20985.0,22914.0,26043.0
Lexus GS 450h,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1784.0,1645.0,678.0,469.0,305.0,282.0,607.0,522.0,183.0,91.0,70.0,50.0,40.0,7.0
Nissan Altima,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8388.0,8819.0,9357.0,6710.0,3236.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexus LS 600hL,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,980.0,258.0,129.0,85.0,54.0,115.0,65.0,47.0,40.0,,211.0,187.0
Saturn Vue,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.0,3399.0,2656.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tahoe, Yukon, Escalade",HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7612.0,7192.0,3857.0,1877.0,1801.0,1036.0,137.0,25.0,0.0,0.0,0.0,0.0
