State,Year,Stations Opened
AK,2014,1
AK,2015,2
AK,2017,5
AK,2018,7
AK,2019,2
AK,2020,18
AK,2021,16
AL,2011,8
AL,2012,30
AL,2014,14
AL,2015,26
AL,2016,7
AL,2017,31
AL,2018,28
AL,2019,24
AL,2020,43
AL,2021,61
AL,2022,12
AR,2011,18
AR,2013,8
AR,2014,4
AR,2015,2
AR,2016,9
AR,2017,6
AR,2018,25
AR,2019,19
AR,2020,17
AR,2021,55
AR,2022,7
AZ,2010,3
AZ,2011,27
AZ,2012,28
AZ,2013,18
AZ,2014,13
AZ,2015,49
AZ,2016,37
AZ,2017,34
AZ,2018,54
AZ,2019,99
AZ,2020,108
AZ,2021,412
AZ,2022,36
CA,1995,1
CA,1996,2
CA,1997,7
CA,1998,15
CA,1999,12
CA,2000,3
CA,2002,19
CA,2004,13
CA,2005,3
CA,2006,3
CA,2008,18
CA,2009,3
CA,2010,4
CA,2011,163
CA,2012,124
CA,2013,171
CA,2014,153
CA,2015,366
CA,2016,341
CA,2017,294
CA,2018,471
CA,2019,671
CA,2020,3720
CA,2021,7833
CA,2022,333
CO,2010,2
CO,2011,4
CO,2012,35
CO,2013,18
CO,2014,28
CO,2015,54
CO,2016,56
CO,2017,102
CO,2018,110
CO,2019,150
CO,2020,322
CO,2021,716
CO,2022,47
CT,2010,3
CT,2011,45
CT,2012,37
CT,2013,15
CT,2014,42
CT,2015,38
CT,2016,78
CT,2017,26
CT,2018,23
CT,2019,61
CT,2020,52
CT,2021,106
CT,2022,8
DC,2011,2
DC,2012,10
DC,2013,4
DC,2014,5
DC,2015,23
DC,2016,13
DC,2017,6
DC,2018,26
DC,2019,37
DC,2020,34
DC,2021,125
DC,2022,11
DE,2012,7
DE,2013,2
DE,2014,2
DE,2015,9
DE,2016,1
DE,2017,12
DE,2018,6
DE,2019,5
DE,2020,16
DE,2021,72
DE,2022,5
FL,2011,78
FL,2012,133
FL,2013,36
FL,2014,28
FL,2015,82
FL,2016,120
FL,2017,163
FL,2018,197
FL,2019,299
FL,2020,472
FL,2021,1011
FL,2022,79
GA,2011,25
GA,2012,48
GA,2013,12
GA,2014,19
GA,2015,64
GA,2016,92
GA,2017,81
GA,2018,118
GA,2019,111
GA,2020,263
GA,2021,730
GA,2022,42
HI,2011,13
HI,2012,70
HI,2013,20
HI,2014,11
HI,2015,21
HI,2016,18
HI,2017,36
HI,2018,13
HI,2019,37
HI,2020,47
HI,2021,95
HI,2022,7
IA,2010,2
IA,2011,18
IA,2012,12
IA,2013,3
IA,2014,5
IA,2015,15
IA,2016,13
IA,2017,13
IA,2018,18
IA,2019,26
IA,2020,55
IA,2021,96
IA,2022,18
ID,2012,5
ID,2013,6
ID,2014,6
ID,2015,11
ID,2016,22
ID,2017,12
ID,2018,10
ID,2019,14
ID,2020,16
ID,2021,36
IL,2009,1
IL,2010,6
IL,2011,11
IL,2012,91
IL,2013,45
IL,2014,39
IL,2015,57
IL,2016,46
IL,2017,58
IL,2018,67
IL,2019,101
IL,2020,170
IL,2021,349
IL,2022,29
IN,2010,2
IN,2011,5
IN,2012,38
IN,2013,12
IN,2014,15
IN,2015,15
IN,2016,21
IN,2017,22
IN,2018,43
IN,2019,33
IN,2020,46
IN,2021,98
IN,2022,8
KS,2011,5
KS,2012,27
KS,2013,22
KS,2014,18
KS,2015,19
KS,2016,41
KS,2017,25
KS,2018,14
KS,2019,40
KS,2020,18
KS,2021,255
KS,2022,6
KY,2011,1
KY,2012,19
