Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2016,AL,Total,"(0, 1, 0)",1,196.4166612,[196.41664159 196.41668079],-47.56392159,-83.56392159,-52.4735667,330,-133.5833388,133.5833388
2016,AR,Total,"(0, 1, 0)",1,80.16980987,[80.16979027 80.16982947],-47.56392159,-83.56392159,-52.4735667,138,-57.83019013,57.83019013
2016,IA,Total,"(1, 1, 0)",1,193.2773464,[193.27732685 193.27736605],-63.99627633,-99.99627633,-69.51962708,280,-86.72265355,86.72265355
2016,IL,Total,"(2, 1, 0)",1,1937.212713,[1937.21269336 1937.21273256],-63.14922415,-99.81589082,-69.28628054,2688,-750.787287,750.787287
2016,IN,Total,"(2, 1, 0)",1,687.6018624,[687.60184276 687.60188196],-63.70196618,-100.3686328,-69.83902256,671,16.60186236,16.60186236
2016,KY,Total,"(0, 1, 0)",1,142.8343855,[142.83436589 142.83440509],-47.56392159,-83.56392159,-52.4735667,280,-137.1656145,137.1656145
2016,LA,Total,"(0, 1, 0)",1,174.6316897,[174.63167012 174.63170932],-47.56392159,-83.56392159,-52.4735667,270,-95.36831028,95.36831028
2016,MI,Total,"(1, 1, 0)",1,-3.795451449,[-3.79547105 -3.79543185],-65.84351612,-101.8435161,-71.36686687,2482,-2485.795451,2485.795451
2016,MN,Total,"(1, 1, 0)",1,609.3235589,[609.32353933 609.32357853],-66.86163504,-102.861635,-72.38498579,1083,-473.6764411,473.6764411
2016,MO,Total,"(0, 1, 0)",1,910.9635322,[910.96351259 910.96355179],-47.56392159,-83.56392159,-52.4735667,870,40.96353219,40.96353219
2016,MS,Total,"(0, 1, 0)",1,53.21389764,[53.21387804 53.21391724],-47.56392159,-83.56392159,-52.4735667,70,-16.78610236,16.78610236
2016,ND,Total,"(1, 1, 0)",1,-116.3531187,[-116.35313834 -116.35309914],-65.82275157,-101.8227516,-71.34610232,40,-156.3531187,156.3531187
2016,SD,Total,"(0, 1, 0)",1,-26.43120867,[-26.43122827 -26.43118907],-47.56392159,-83.56392159,-52.4735667,37,-63.43120867,63.43120867
2016,TX,Total,"(1, 1, 0)",1,2954.805457,[2954.80543732 2954.80547652],-48.3086398,-84.3086398,-53.83199055,4510,-1555.194543,1555.194543
2016,WI,Total,"(0, 1, 0)",1,1860.153375,[1860.1533556 1860.1533948],-47.56392159,-83.56392159,-52.4735667,1778,82.1533752,82.1533752
2017,AL,Total,"(0, 1, 0)",1,356.4028545,[356.40283493 356.40287413],-47.56392159,-83.56392159,-52.4735667,381,-24.59714547,24.59714547
2017,AL,Total,"(0, 1, 0)",2,200.128917,[200.12888928 200.12894471],-47.56392159,-83.56392159,-52.4735667,381,-180.871083,180.871083
2017,AR,Total,"(0, 1, 0)",1,166.0518829,[166.05186333 166.05190253],-47.56392159,-83.56392159,-52.4735667,187,-20.94811707,20.94811707
2017,AR,Total,"(0, 1, 0)",2,67.96852702,[67.9684993  67.96855473],-47.56392159,-83.56392159,-52.4735667,187,-119.031473,119.031473
2017,IA,Total,"(1, 1, 0)",1,320.4222922,[320.42227257 320.42231177],-49.35031564,-85.35031564,-54.87366639,433,-112.5777078,112.5777078
2017,IA,Total,"(1, 1, 0)",2,129.0470993,[129.04707964 129.04711887],-63.99627633,-99.99627633,-69.51962708,433,-303.9529007,303.9529007
2017,IL,Total,"(0, 1, 0)",1,2638.212205,[2638.21218507 2638.21222427],-47.56392159,-83.56392159,-52.4735667,3812,-1173.787795,1173.787795
2017,IL,Total,"(2, 1, 0)",2,1386.925825,[1386.92579241 1386.92585826],-63.14922415,-99.81589082,-69.28628054,3812,-2425.074175,2425.074175
2017,IN,Total,"(0, 1, 0)",1,428.5075427,[428.50752306 428.50756226],-47.56392159,-83.56392159,-52.4735667,933,-504.4924573,504.4924573
2017,IN,Total,"(2, 1, 0)",2,657.7831494,[657.78311375 657.78318515],-63.70196618,-100.3686328,-69.83902256,933,-275.2168506,275.2168506
2017,KY,Total,"(0, 1, 0)",1,457.8404624,[457.84044275 457.84048195],-47.56392159,-83.56392159,-52.4735667,360,97.84046235,97.84046235
2017,KY,Total,"(0, 1, 0)",2,125.2681974,[125.26816968 125.26822512],-47.56392159,-83.56392159,-52.4735667,360,-234.7318026,234.7318026
2017,LA,Total,"(2, 1, 0)",1,230.6250785,[230.62505894 230.62509814],-63.98644106,-100.6531077,-70.12349745,283,-52.37492146,52.37492146
2017,LA,Total,"(0, 1, 0)",2,144.2460254,[144.24599768 144.24605311],-47.56392159,-83.56392159,-52.4735667,283,-138.7539746,138.7539746
2017,MI,Total,"(0, 1, 0)",1,3359.190116,[3359.19009625 3359.19013545],-47.56392142,-83.56392142,-52.47356653,2742,617.1901158,617.1901158
2017,MI,Total,"(1, 1, 0)",2,-2061.869656,[-2061.86967661 -2061.86963609],-65.84351612,-101.8435161,-71.36686687,2742,-4803.869656,4803.869656
2017,MN,Total,"(0, 1, 0)",1,1839.542343,[1839.54232319 1839.54236239],-47.56392159,-83.56392159,-52.4735667,1398,441.5423428,441.5423428
2017,MN,Total,"(1, 1, 0)",2,665.9458643,[665.94584436 665.9458842 ],-66.86163504,-102.861635,-72.38498579,1398,-732.0541357,732.0541357
2017,MO,Total,"(2, 1, 0)",1,1064.944959,[1064.94493957 1064.94497877],-62.11146047,-98.77812714,-68.24851686,1150,-85.05504083,85.05504083
2017,MO,Total,"(0, 1, 0)",2,1305.564886,[1305.56485831 1305.56491375],-47.56392159,-83.56392159,-52.4735667,1150,155.564886,155.564886
2017,MS,Total,"(0, 1, 0)",1,96.92273868,[96.92271908 96.92275828],-47.56392159,-83.56392159,-52.4735667,128,-31.07726132,31.07726132
2017,MS,Total,"(0, 1, 0)",2,92.15069774,[92.15067002 92.15072546],-47.56392159,-83.56392159,-52.4735667,128,-35.84930226,35.84930226
2017,ND,Total,"(1, 1, 0)",1,53.55055761,[53.55053801 53.55057721],-47.88056719,-83.88056719,-53.40391794,39,14.55055761,14.55055761
2017,ND,Total,"(1, 1, 0)",2,-200.1439131,[-200.14393341 -200.14389282],-65.82275157,-101.8227516,-71.34610232,39,-239.1439131,239.1439131
