Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2016,AL,Total,"(0, 1, 0)",1,196.4166611890323,[196.41664159 196.41668079],-47.56392159059281,-83.56392159059281,-52.473566701633686,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(0, 1, 0)",2,200.1289169936863,[200.12888928 200.12894471],-47.56392159059281,-83.56392159059281,-52.473566701633686,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(0, 1, 0)",3,195.69707168662717,[195.69703774 195.69710563],-47.56392159059281,-83.56392159059281,-52.473566701633686,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(0, 1, 0)",4,183.12112526785495,[183.12108607 183.12116447],-47.56392159059281,-83.56392159059281,-52.473566701633686,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(0, 1, 1)",1,196.4166611890323,[196.41664159 196.41668079],-45.56392159059281,-81.56392159059281,-51.0872723405138,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(0, 1, 1)",2,200.1289169936863,[200.12888928 200.12894471],-45.56392159059281,-81.56392159059281,-51.0872723405138,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(0, 1, 1)",3,195.69707168662717,[195.69703774 195.69710563],-45.56392159059281,-81.56392159059281,-51.0872723405138,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(0, 1, 1)",4,183.12112526785495,[183.12108607 183.12116447],-45.56392159059281,-81.56392159059281,-51.0872723405138,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(0, 1, 2)",1,196.4166611890323,[196.41664159 196.41668079],-43.56392159059281,-80.23058825725948,-49.700977979393905,330,-133.5833388109677,133.5833388109677
2017,AL,Total,"(0, 1, 2)",2,200.1289169936863,[200.12888928 200.12894471],-43.56392159059281,-80.23058825725948,-49.700977979393905,381,-180.8710830063137,180.8710830063137
2018,AL,Total,"(0, 1, 2)",3,195.69707168662717,[195.69703774 195.69710563],-43.56392159059281,-80.23058825725948,-49.700977979393905,866,-670.3029283133728,670.3029283133728
2019,AL,Total,"(0, 1, 2)",4,183.12112526785495,[183.12108607 183.12116447],-43.56392159059281,-80.23058825725948,-49.700977979393905,1007,-823.878874732145,823.878874732145
2016,AL,Total,"(0, 2, 0)",1,117.98187286558095,[117.98185327 117.98189247],-46.71878043855658,-82.71878043855658,-53.9298821292117,330,-212.01812713441905,212.01812713441905
2017,AL,Total,"(0, 2, 0)",2,-2.568428726604907,[-2.56847255 -2.5683849 ],-46.71878043855658,-82.71878043855658,-53.9298821292117,381,-383.5684287266049,383.5684287266049
2018,AL,Total,"(0, 2, 0)",3,-167.10431736745522,[-167.1043907  -167.10424403],-46.71878043855658,-82.71878043855658,-53.9298821292117,866,-1033.1043173674552,1033.1043173674552
2019,AL,Total,"(0, 2, 0)",4,-375.62579305697,[-375.62590041 -375.62568571],-46.71878043855658,-82.71878043855658,-53.9298821292117,1007,-1382.62579305697,1382.62579305697
2016,AL,Total,"(0, 2, 1)",1,117.98187286558095,[117.98185327 117.98189247],-44.71878043853839,-80.71878043853839,-52.8312698405254,330,-212.01812713441905,212.01812713441905
2017,AL,Total,"(0, 2, 1)",2,-2.568428726604907,[-2.56847255 -2.5683849 ],-44.71878043853839,-80.71878043853839,-52.8312698405254,381,-383.5684287266049,383.5684287266049
