Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2018,AL,BEV sales,"(0, 1, 0)",1,187.16666666666669,[141.954 232.379],58.688689546109906,61.688689546109906,58.272208484566015,527,-339.8333333333333,339.8333333333333
2019,AL,BEV sales,"(0, 1, 0)",2,211.33333333333337,[147.393 275.274],58.688689546109906,61.688689546109906,58.272208484566015,722,-510.66666666666663,510.66666666666663
2020,AL,BEV sales,"(0, 1, 0)",3,235.50000000000006,[157.189 313.811],58.688689546109906,61.688689546109906,58.272208484566015,799,-563.5,563.5
2021,AL,BEV sales,"(0, 1, 0)",4,259.66666666666674,[169.241 350.092],58.688689546109906,61.688689546109906,58.272208484566015,1607,-1347.3333333333333,1347.3333333333333
2018,AL,BEV sales,"(0, 1, 1)",1,191.5724671217231,[146.902 236.242],60.58498500551627,68.58498500551627,59.96026341320044,527,-335.4275328782769,335.4275328782769
2019,AL,BEV sales,"(0, 1, 1)",2,216.72100130864004,[146.908 286.534],60.58498500551627,68.58498500551627,59.96026341320044,722,-505.27899869135996,505.27899869135996
2020,AL,BEV sales,"(0, 1, 1)",3,241.869535495557,[153.822 329.917],60.58498500551627,68.58498500551627,59.96026341320044,799,-557.130464504443,557.130464504443
2021,AL,BEV sales,"(0, 1, 1)",4,267.01806968247394,[163.912 370.124],60.58498500551627,68.58498500551627,59.96026341320044,1607,-1339.9819303175261,1339.9819303175261
2018,AL,BEV sales,"(0, 1, 2)",1,167.62514341116966,[132.755 202.495],61.006279264755214,81.00627926475522,60.17331714166743,527,-359.3748565888303,359.3748565888303
2019,AL,BEV sales,"(0, 1, 2)",2,188.50129149002586,[139.187 237.815],61.006279264755214,81.00627926475522,60.17331714166743,722,-533.4987085099741,533.4987085099741
2020,AL,BEV sales,"(0, 1, 2)",3,209.8513494997462,[160.537 259.165],61.006279264755214,81.00627926475522,60.17331714166743,799,-589.1486505002538,589.1486505002538
2021,AL,BEV sales,"(0, 1, 2)",4,231.20140750946652,[181.887 280.515],61.006279264755214,81.00627926475522,60.17331714166743,1607,-1375.7985924905336,1375.7985924905336
2018,AL,BEV sales,"(0, 2, 0)",1,213.2,[149.818 276.582],52.9518811960044,55.9518811960044,52.1707570208726,527,-313.8,313.8
2019,AL,BEV sales,"(0, 2, 0)",2,265.59999999999997,[123.874 407.326],52.9518811960044,55.9518811960044,52.1707570208726,722,-456.40000000000003,456.40000000000003
2020,AL,BEV sales,"(0, 2, 0)",3,320.2,[ 83.047 557.353],52.9518811960044,55.9518811960044,52.1707570208726,799,-478.8,478.8
