Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2018,AL,BEV sales,"(0, 2, 0)",1,213.2,[149.818 276.582],52.9518811960044,55.9518811960044,52.1707570208726,527.0,-313.8,313.8
2018,AL,PHEV sales,"(0, 2, 0)",1,195.39999999999995,[-48.974 439.774],66.44712712055004,69.44712712055004,65.66600294541824,339.0,-143.60000000000005,143.60000000000005
2018,AL,Total,"(0, 2, 0)",1,408.6,[129.446 687.754],67.7777772555066,70.7777772555066,66.99665308037481,866.0,-457.4,457.4
2018,AR,BEV sales,"(0, 2, 0)",1,104.4,[ 69.238 139.562],47.059657970255465,50.059657970255465,46.278533795123664,260.0,-155.6,155.6
2018,AR,PHEV sales,"(0, 2, 0)",1,122.0,[-17.997 261.997],60.87632482555558,63.87632482555558,60.09520065042378,175.0,-53.0,53.0
2018,AR,Total,"(0, 2, 0)",1,226.4,[ 73.279 379.521],61.77242446022871,64.7724244602287,60.99130028509691,435.0,-208.6,208.6
2018,IA,BEV sales,"(0, 2, 0)",1,187.2,[128.605 245.795],52.16657174583119,55.16657174583119,51.38544757069939,483.0,-295.8,295.8
2018,IA,PHEV sales,"(0, 2, 0)",1,371.0,[100.281 641.719],67.47094575226525,70.47094575226525,66.68982157713346,434.0,-63.0,63.0
2018,IA,Total,"(0, 2, 0)",1,558.2,[256.202 860.198],68.56433934151772,71.56433934151772,67.78321516638593,917.0,-358.79999999999995,358.79999999999995
2018,IL,BEV sales,"(0, 2, 0)",1,3349.2,[1591.498 5106.902],86.17775085395601,89.17775085395601,85.39662667882422,5428.0,-2078.8,2078.8
2018,IL,PHEV sales,"(0, 2, 0)",1,1555.2,[ 306.758 2803.642],82.75663777300586,85.75663777300586,81.97551359787407,1929.0,-373.8,373.8
2018,IL,Total,"(0, 2, 0)",1,4904.4,[3426.211 6382.589],84.44585393914578,87.44585393914578,83.66472976401398,7357.0,-2452.6000000000004,2452.6000000000004
2018,IN,BEV sales,"(0, 2, 0)",1,614.4,[440.333 788.467],63.054519831284125,66.05451983128413,62.27339565615232,1367.0,-752.6,752.6
2018,IN,PHEV sales,"(0, 2, 0)",1,578.2,[381.787 774.613],64.26232203616426,67.26232203616426,63.48119786103246,669.0,-90.79999999999995,90.79999999999995
2018,IN,Total,"(0, 2, 0)",1,1192.6,[ 893.053 1492.147],68.4828251666143,71.4828251666143,67.70170099148251,2036.0,-843.3999999999999,843.3999999999999
2018,KY,BEV sales,"(0, 2, 0)",1,246.6,[202.189 291.011],49.39505121885457,52.39505121885457,48.61392704372277,470.0,-223.4,223.4
2018,KY,PHEV sales,"(0, 2, 0)",1,183.8,[  6.515 361.085],63.23769815893493,66.23769815893493,62.45657398380313,317.0,-133.2,133.2
2018,KY,Total,"(0, 2, 0)",1,430.4,[257.97 602.83],62.96006680472412,65.96006680472412,62.17894262959232,787.0,-356.6,356.6
2018,LA,BEV sales,"(0, 2, 0)",1,131.79999999999998,[ 87.897 175.703],49.27999492065678,52.27999492065678,48.49887074552498,392.0,-260.20000000000005,260.20000000000005
2018,LA,PHEV sales,"(0, 2, 0)",1,137.8,[-80.331 355.931],65.31106032817173,68.31106032817173,64.52993615303994,221.0,-83.19999999999999,83.19999999999999
2018,LA,Total,"(0, 2, 0)",1,269.6,[ 47.099 492.101],65.50942769524809,68.50942769524809,64.7283035201163,613.0,-343.4,343.4
2018,MI,BEV sales,"(0, 2, 0)",1,1248.0,[ 723.131 1772.869],74.09161954826062,77.09161954826062,73.31049537312883,1623.0,-375.0,375.0
2018,MI,PHEV sales,"(0, 2, 0)",1,1515.8,[-1201.583  4233.183],90.53436839006189,93.53436839006189,89.75324421493009,1948.0,-432.2000000000001,432.2000000000001
2018,MI,Total,"(0, 2, 0)",1,2763.7999999999997,[ 268.826 5258.774],89.68045929202772,92.68045929202772,88.89933511689593,3571.0,-807.2000000000007,807.2000000000007
2018,MN,BEV sales,"(0, 2, 0)",1,938.0,[ 672.204 1203.796],67.28741442482371,70.28741442482371,66.5062902496919,1866.0,-928.0,928.0
2018,MN,PHEV sales,"(0, 2, 0)",1,666.0,[-541.462 1873.462],82.42288264890968,85.42288264890968,81.64175847377788,987.0,-321.0,321.0
2018,MN,Total,"(0, 2, 0)",1,1604.0,[ 379.428 2828.572],82.56359065326399,85.56359065326399,81.78246647813219,2853.0,-1249.0,1249.0
2018,MO,BEV sales,"(0, 2, 0)",1,751.2,[ 501.192 1001.208],66.67507134592068,69.67507134592068,65.89394717078889,1523.0,-771.8,771.8
2018,MO,PHEV sales,"(0, 2, 0)",1,655.8,[ 177.637 1133.963],73.15963631322691,76.15963631322691,72.37851213809512,745.0,-89.20000000000005,89.20000000000005
2018,MO,Total,"(0, 2, 0)",1,1407.0,[ 862.943 1951.057],74.45066814486665,77.45066814486665,73.66954396973486,2268.0,-861.0,861.0
2018,MS,BEV sales,"(0, 2, 0)",1,82.6,[ 50.5 114.7],46.148795842830005,49.148795842830005,45.36767166769821,113.0,-30.40000000000001,30.40000000000001
2018,MS,PHEV sales,"(2, 2, 0)",1,644.5850244926525,[644.585 644.585],8.0,28.0,6.437751649736401,118.0,526.5850244926525,526.5850244926525
2018,MS,Total,"(0, 2, 0)",1,184.2,[ 92.291 276.109],56.66808433356101,59.66808433356101,55.88696015842921,231.0,-46.80000000000001,46.80000000000001
2018,ND,BEV sales,"(0, 1, 0)",1,18.5,[12.87 24.13],33.68854160053151,36.68854160053151,33.27206053898762,50.0,-31.5,31.5
2018,ND,PHEV sales,"(0, 2, 0)",1,15.0,[-25.396  55.396],48.44747768168622,51.44747768168622,47.66635350655442,45.0,-30.0,30.0
2018,ND,Total,"(0, 2, 0)",1,33.19999999999999,[-5.988 72.388],48.14370716722497,51.14370716722497,47.36258299209317,95.0,-61.80000000000001,61.80000000000001
2018,SD,BEV sales,"(0, 2, 0)",1,57.4,[40.604 74.196],39.67172906361167,42.67172906361167,38.89060488847987,69.0,-11.6,11.6
2018,SD,PHEV sales,"(0, 2, 0)",1,65.6,[32.954 98.246],46.317408800008,49.317408800008,45.5362846248762,66.0,-0.4000000000000057,0.4000000000000057
2018,SD,Total,"(0, 2, 0)",1,123.0,[ 77.102 168.898],49.724410070487785,52.724410070487785,48.943285895355984,135.0,-12.0,12.0
2018,TX,BEV sales,"(0, 2, 0)",1,3917.2,[2408.601 5425.799],84.64948873196855,87.64948873196855,83.86836455683675,8232.0,-4314.8,4314.8
2018,TX,PHEV sales,"(1, 2, 0)",1,3351.9115486659834,[2901.075 3802.748],77.0773798063793,85.0773798063793,75.9056935436816,3532.0,-180.08845133401655,180.08845133401655
2018,TX,Total,"(0, 2, 0)",1,6370.8,[4711.684 8029.916],85.60052858617506,88.60052858617506,84.81940441104327,11764.0,-5393.2,5393.2
2018,WI,BEV sales,"(0, 2, 0)",1,406.7999999999996,[-595.523 1409.123],80.56087919497003,83.56087919497003,79.77975501983823,1168.0,-761.2000000000005,761.2000000000005
2018,WI,PHEV sales,"(0, 2, 0)",1,818.2000000000002,[ 224.03 1412.37],75.331784391427,78.331784391427,74.5506602162952,788.0,30.20000000000016,30.20000000000016
2018,WI,Total,"(0, 2, 0)",1,1225.0,[ 148.069 2301.931],81.27882639896546,84.27882639896546,80.49770222383367,1956.0,-731.0,731.0
2019,AL,BEV sales,"(0, 2, 0)",1,959.4,[ 709.182 1209.618],66.68344735957155,69.68344735957155,65.90232318443975,722.0,237.4,237.4
2019,AL,BEV sales,"(0, 2, 0)",2,265.6,[123.874 407.326],52.9518811960044,55.9518811960044,52.1707570208726,722.0,-456.4,456.4
2019,AL,PHEV sales,"(1, 2, 1)",1,-207.1778533336636,[-207.178 -207.178],8.0,28.0,6.437751649736401,285.0,-492.1778533336636,492.1778533336636
2019,AL,PHEV sales,"(0, 2, 0)",2,147.19999999999993,[-399.237  693.637],66.44712712055004,69.44712712055004,65.66600294541824,285.0,-137.80000000000007,137.80000000000007
2019,AL,Total,"(0, 2, 0)",1,1461.0,[1091.471 1830.529],70.58241241762262,73.58241241762262,69.80128824249083,1007.0,454.0,454.0
2019,AL,Total,"(0, 2, 0)",2,412.80000000000007,[-211.408 1037.008],67.7777772555066,70.7777772555066,66.99665308037481,1007.0,-594.1999999999999,594.1999999999999
2019,AR,BEV sales,"(0, 2, 0)",1,482.4,[354.508 610.292],59.971971674149245,62.971971674149245,59.19084749901744,370.0,112.39999999999998,112.39999999999998
2019,AR,BEV sales,"(0, 2, 0)",2,141.20000000000002,[ 62.576 219.824],47.059657970255465,50.059657970255465,46.278533795123664,370.0,-228.8,228.8
2019,AR,PHEV sales,"(1, 2, 0)",1,229.1799850886233,[191.937 266.423],50.90251421067526,58.90251421067526,49.73082794797756,168.0,61.17998508862331,61.17998508862331
2019,AR,PHEV sales,"(0, 2, 0)",2,115.0,[-198.043  428.043],60.87632482555558,63.87632482555558,60.09520065042378,168.0,-53.0,53.0
