,Year,Region,MTLF (MWh),Actual Load (MWh),Error
0,2019,Central,348931823.0,344660349.5,4271473.5
1,2020,Central,331062413.0,329884405.1,1178007.8999999762
2,2021,Central,338184060.0,339073476.8,889416.8000000119
3,2022,Central,44950202.0,45227439.4,277237.3999999985
4,2019,MISO,673506056.0,667792593.5,5713462.5
5,2020,MISO,641781070.0,639828861.4,1952208.6000000238
6,2021,MISO,657523299.0,660141848.3,2618549.2999999523
7,2022,MISO,87308546.0,88158537.8,849991.799999997
8,2019,North,148768587.0,148100883.2,667703.8000000119
9,2020,North,143478426.0,142965398.8,513027.1999999881
10,2021,North,147487872.0,148348983.0,861111.0
11,2022,North,20230433.0,20495693.0,265260.0
12,2019,South,175805646.0,175031443.8,774202.1999999881
13,2020,South,167240231.0,166979140.3,261090.69999998808
14,2021,South,171851367.0,172719467.4,868100.400000006
15,2022,South,22127911.0,22435417.5,307506.5
