State,EVRegistrations 2021,PercentEVDistribution2021
Alabama,"2,890",0.30%
Alaska,940,0.09%
Arizona,"28,770",2.80%
Arkansas,"1,330",0.13%
California,"425,300",42%
Colorado,"24,670",2.40%
Connecticut,"9,040",0.90%
Delaware,"1,950",0.20%
District of Columbia,"2,360",0.23%
Florida,"58,160",5.70%
Georgia,"23,530",2.30%
Hawaii,"10,670",1.10%
Idaho,"2,300",0.23%
Illinois,"26,000",2.60%
Indiana,"6,990",0.70%
Iowa,"2,260",0.22%
Kansas,"3,130",0.31%
Kentucky,"2,650",0.26%
Louisiana,"1,950",0.19%
Maine,"1,920",0.19%
Maryland,"17,970",1.80%
Massachusetts,"21,010",2.10%
Michigan,"10,620",1%
Minnesota,"10,380",1%
Mississippi,780,0.08%
Missouri,"6,740",0.66%
Montana,940,0.09%
Nebraska,"1,810",0.18%
Nevada,"11,040",1.10%
New Hampshire,"2,690",0.26%
New Jersey,"30,420",3%
New Mexico,"2,620",0.26%
New York,"32,590",3.20%
North Carolina,"16,190",1.60%
North Dakota,220,0.02%
Ohio,"14,530",1.40%
Oklahoma,"3,410",0.34%
Oregon,"22,850",2.20%
Pennsylvania,"17,530",1.70%
Rhode Island,"1,580",0.16%
South Carolina,"4,390",0.43%
South Dakota,410,0.04%
Tennessee,"7,810",0.80%
Texas,"52,190",5.10%
Utah,"11,230",1.10%
Vermont,"2,230",0.22%
Virginia,"20,510",2%
Washington,"50,520",5%
West Virginia,600,0.06%
Wisconsin,"6,310",0.62%
Wyoming,330,0.03%
TOTAL,"1,019,260",100%
