Market Day,HourEnding,Region,MTLF (MWh),Actual Load (MWh)
01/01/2019,1,Central,33585.0,32499.2
01/01/2019,1,MISO,66632.0,66082.2
01/01/2019,1,North,16811.0,17199.1
01/01/2019,1,South,16236.0,16383.9
01/01/2019,2,Central,32495.0,31708.3
01/01/2019,2,MISO,64572.0,64541.3
01/01/2019,2,North,16352.0,16768.6
01/01/2019,2,South,15725.0,16064.4
01/01/2019,3,Central,31807.0,30916.3
01/01/2019,3,MISO,63266.0,63313.7
01/01/2019,3,North,16028.0,16500.9
01/01/2019,3,South,15431.0,15896.5
01/01/2019,4,Central,31380.0,30495.6
01/01/2019,4,MISO,62503.0,62566.4
01/01/2019,4,North,15875.0,16362.0
01/01/2019,4,South,15248.0,15708.8
01/01/2019,5,Central,31323.0,30476.2
01/01/2019,5,MISO,62386.0,62398.3
01/01/2019,5,North,15837.0,16320.1
01/01/2019,5,South,15226.0,15602.1
01/01/2019,6,Central,31817.0,30919.8
01/01/2019,6,MISO,63277.0,62912.9
01/01/2019,6,North,15989.0,16274.4
01/01/2019,6,South,15471.0,15718.7
01/01/2019,7,Central,32797.0,31694.5
01/01/2019,7,MISO,65203.0,64136.1
01/01/2019,7,North,16390.0,16417.9
01/01/2019,7,South,16016.0,16023.7
01/01/2019,8,Central,33934.0,32506.8
01/01/2019,8,MISO,67324.0,65675.0
01/01/2019,8,North,16950.0,16781.5
01/01/2019,8,South,16440.0,16386.7
01/01/2019,9,Central,34780.0,32966.7
01/01/2019,9,MISO,68681.0,66736.8
01/01/2019,9,North,17290.0,17149.3
01/01/2019,9,South,16611.0,16620.8
01/01/2019,10,Central,35742.0,33742.4
01/01/2019,10,MISO,70134.0,68163.4
01/01/2019,10,North,17470.0,17411.0
01/01/2019,10,South,16922.0,17010.0
01/01/2019,11,Central,36719.0,34938.2
01/01/2019,11,MISO,71782.0,70081.5
01/01/2019,11,North,17703.0,17714.0
01/01/2019,11,South,17360.0,17429.3
01/01/2019,12,Central,37383.0,35893.9
01/01/2019,12,MISO,72852.0,71374.7
01/01/2019,12,North,17826.0,17843.5
01/01/2019,12,South,17643.0,17637.4
01/01/2019,13,Central,37628.0,36392.0
01/01/2019,13,MISO,73109.0,71858.8
01/01/2019,13,North,17857.0,17772.7
01/01/2019,13,South,17624.0,17694.2
01/01/2019,14,Central,37626.0,36535.3
01/01/2019,14,MISO,72811.0,71636.1
01/01/2019,14,North,17794.0,17710.6
01/01/2019,14,South,17391.0,17390.2
01/01/2019,15,Central,37496.0,36549.8
01/01/2019,15,MISO,72299.0,71213.8
01/01/2019,15,North,17635.0,17561.6
01/01/2019,15,South,17168.0,17102.4
01/01/2019,16,Central,37402.0,36708.2
01/01/2019,16,MISO,71952.0,71297.5
01/01/2019,16,North,17510.0,17552.2
01/01/2019,16,South,17040.0,17037.2
01/01/2019,17,Central,37874.0,37347.9
01/01/2019,17,MISO,72491.0,72060.3
01/01/2019,17,North,17577.0,17793.8
01/01/2019,17,South,17040.0,16918.5
01/01/2019,18,Central,39871.0,39124.3
01/01/2019,18,MISO,75325.0,74781.6
01/01/2019,18,North,18209.0,18438.6
01/01/2019,18,South,17245.0,17218.7
01/01/2019,19,Central,41787.0,40266.8
01/01/2019,19,MISO,79656.0,77907.1
01/01/2019,19,North,19625.0,19518.5
01/01/2019,19,South,18244.0,18121.8
01/01/2019,20,Central,41493.0,39926.2
01/01/2019,20,MISO,79894.0,77856.3
01/01/2019,20,North,19698.0,19513.6
01/01/2019,20,South,18703.0,18416.5
01/01/2019,21,Central,40781.0,39247.8
01/01/2019,21,MISO,79027.0,76880.2
01/01/2019,21,North,19392.0,19273.7
01/01/2019,21,South,18854.0,18358.8
01/01/2019,22,Central,39866.0,38336.0
01/01/2019,22,MISO,77575.0,75347.7
01/01/2019,22,North,19045.0,18895.9
01/01/2019,22,South,18664.0,18115.8
01/01/2019,23,Central,38477.0,36880.7
01/01/2019,23,MISO,75327.0,72833.5
01/01/2019,23,North,18617.0,18319.0
01/01/2019,23,South,18233.0,17633.8
01/01/2019,24,Central,36871.0,35375.4
01/01/2019,24,MISO,72375.0,70166.5
01/01/2019,24,North,17898.0,17822.5
01/01/2019,24,South,17606.0,16968.6
01/02/2019,1,Central,35184.0,34193.7
01/02/2019,1,MISO,69618.0,67692.6
01/02/2019,1,North,17526.0,17245.0
01/02/2019,1,South,16908.0,16253.9
01/02/2019,2,Central,34585.0,33405.1
01/02/2019,2,MISO,68241.0,66000.9
01/02/2019,2,North,17179.0,16785.6
01/02/2019,2,South,16477.0,15810.1
01/02/2019,3,Central,34231.0,32961.2
01/02/2019,3,MISO,67368.0,65069.1
01/02/2019,3,North,16925.0,16616.9
01/02/2019,3,South,16212.0,15490.9
01/02/2019,4,Central,34004.0,32955.0
01/02/2019,4,MISO,66751.0,64831.2
01/02/2019,4,North,16746.0,16499.1
01/02/2019,4,South,16001.0,15377.0
01/02/2019,5,Central,34439.0,33632.9
01/02/2019,5,MISO,67257.0,65598.3
01/02/2019,5,North,16790.0,16559.8
01/02/2019,5,South,16028.0,15405.6
01/02/2019,6,Central,35802.0,35253.9
01/02/2019,6,MISO,69268.0,67876.9
01/02/2019,6,North,17091.0,16829.4
01/02/2019,6,South,16375.0,15793.7
01/02/2019,7,Central,38433.0,37976.5
01/02/2019,7,MISO,73647.0,72466.1
01/02/2019,7,North,17940.0,17822.4
01/02/2019,7,South,17274.0,16667.2
01/02/2019,8,Central,41177.0,40792.7
01/02/2019,8,MISO,78769.0,77746.9
01/02/2019,8,North,19261.0,19185.9
01/02/2019,8,South,18331.0,17768.3
01/02/2019,9,Central,42354.0,42358.7
01/02/2019,9,MISO,81268.0,80932.2
01/02/2019,9,North,20010.0,20106.2
01/02/2019,9,South,18904.0,18467.3
01/02/2019,10,Central,42738.0,42922.8
01/02/2019,10,MISO,81939.0,81915.2
01/02/2019,10,North,19886.0,20108.5
01/02/2019,10,South,19315.0,18883.9
01/02/2019,11,Central,42995.0,43525.8
01/02/2019,11,MISO,82288.0,82907.9
01/02/2019,11,North,19761.0,20019.1
01/02/2019,11,South,19532.0,19363.0
01/02/2019,12,Central,42982.0,43857.4
01/02/2019,12,MISO,82324.0,83256.1
01/02/2019,12,North,19724.0,19907.0
01/02/2019,12,South,19618.0,19491.7
01/02/2019,13,Central,42618.0,43944.9
01/02/2019,13,MISO,81698.0,83384.1
01/02/2019,13,North,19576.0,19642.3
01/02/2019,13,South,19504.0,19796.8
01/02/2019,14,Central,42032.0,43905.6
01/02/2019,14,MISO,80661.0,83485.9
01/02/2019,14,North,19337.0,19631.2
01/02/2019,14,South,19292.0,19949.1
01/02/2019,15,Central,41729.0,43930.2
01/02/2019,15,MISO,80201.0,83390.1
01/02/2019,15,North,19241.0,19456.8
01/02/2019,15,South,19231.0,20003.1
01/02/2019,16,Central,41448.0,43765.9
01/02/2019,16,MISO,79677.0,83033.2
01/02/2019,16,North,19087.0,19237.7
01/02/2019,16,South,19142.0,20029.5
01/02/2019,17,Central,41703.0,43911.2
01/02/2019,17,MISO,79962.0,83072.6
01/02/2019,17,North,19095.0,19117.5
01/02/2019,17,South,19164.0,20043.9
01/02/2019,18,Central,43373.0,45121.1
01/02/2019,18,MISO,82341.0,85067.9
01/02/2019,18,North,19609.0,19534.6
01/02/2019,18,South,19359.0,20412.2
01/02/2019,19,Central,44837.0,46115.4
01/02/2019,19,MISO,85469.0,87740.7
01/02/2019,19,North,20569.0,20352.6
01/02/2019,19,South,20063.0,21272.6
01/02/2019,20,Central,44624.0,45520.4
01/02/2019,20,MISO,85868.0,87410.8
01/02/2019,20,North,20593.0,20283.9
01/02/2019,20,South,20651.0,21606.5
01/02/2019,21,Central,43914.0,44620.6
01/02/2019,21,MISO,84831.0,85691.6
01/02/2019,21,North,20260.0,19903.2
01/02/2019,21,South,20657.0,21167.8
01/02/2019,22,Central,42803.0,43386.4
01/02/2019,22,MISO,82943.0,83502.0
01/02/2019,22,North,19855.0,19385.3
01/02/2019,22,South,20285.0,20730.4
01/02/2019,23,Central,41042.0,41591.0
01/02/2019,23,MISO,79787.0,80214.9
01/02/2019,23,North,19166.0,18524.9
01/02/2019,23,South,19579.0,20099.0
01/02/2019,24,Central,39138.0,39434.9
01/02/2019,24,MISO,76029.0,76097.5
01/02/2019,24,North,18252.0,17522.7
01/02/2019,24,South,18639.0,19139.8
01/03/2019,1,Central,38020.0,37883.8
01/03/2019,1,MISO,73185.0,72988.0
01/03/2019,1,North,17267.0,16891.6
01/03/2019,1,South,17898.0,18212.5
01/03/2019,2,Central,37069.0,36902.2
01/03/2019,2,MISO,71186.0,70950.8
01/03/2019,2,North,16773.0,16404.3
01/03/2019,2,South,17344.0,17644.4
01/03/2019,3,Central,36605.0,36404.6
01/03/2019,3,MISO,70122.0,69745.3
01/03/2019,3,North,16469.0,16066.5
01/03/2019,3,South,17048.0,17274.1
01/03/2019,4,Central,36567.0,36172.5
01/03/2019,4,MISO,69829.0,69018.6
01/03/2019,4,North,16353.0,15876.9
01/03/2019,4,South,16909.0,16969.2
01/03/2019,5,Central,37152.0,36493.9
01/03/2019,5,MISO,70495.0,69289.6
01/03/2019,5,North,16385.0,15841.6
01/03/2019,5,South,16958.0,16954.1
01/03/2019,6,Central,38902.0,37940.3
01/03/2019,6,MISO,73001.0,71381.7
01/03/2019,6,North,16710.0,16174.1
01/03/2019,6,South,17389.0,17267.3
01/03/2019,7,Central,42067.0,40433.6
01/03/2019,7,MISO,78235.0,75432.3
01/03/2019,7,North,17676.0,16998.1
01/03/2019,7,South,18492.0,18000.7
01/03/2019,8,Central,45176.0,43012.2
01/03/2019,8,MISO,84297.0,80500.3
01/03/2019,8,North,19321.0,18439.4
01/03/2019,8,South,19800.0,19048.7
01/03/2019,9,Central,45733.0,43959.6
01/03/2019,9,MISO,86170.0,82959.9
01/03/2019,9,North,20276.0,19339.1
01/03/2019,9,South,20161.0,19661.2
01/03/2019,10,Central,45232.0,43805.8
01/03/2019,10,MISO,85485.0,82584.9
01/03/2019,10,North,19978.0,19059.7
01/03/2019,10,South,20275.0,19719.3
01/03/2019,11,Central,44554.0,43411.7
01/03/2019,11,MISO,84425.0,82046.5
01/03/2019,11,North,19631.0,18672.2
01/03/2019,11,South,20240.0,19962.6
01/03/2019,12,Central,43817.0,42782.1
01/03/2019,12,MISO,83324.0,81327.3
01/03/2019,12,North,19390.0,18300.9
01/03/2019,12,South,20117.0,20244.3
01/03/2019,13,Central,43128.0,41965.3
01/03/2019,13,MISO,82245.0,80342.9
01/03/2019,13,North,19143.0,18106.5
01/03/2019,13,South,19974.0,20271.2
01/03/2019,14,Central,42493.0,41310.3
01/03/2019,14,MISO,81302.0,79384.7
01/03/2019,14,North,18906.0,17913.2
01/03/2019,14,South,19903.0,20161.2
01/03/2019,15,Central,41871.0,40748.5
01/03/2019,15,MISO,80539.0,78505.0
01/03/2019,15,North,18758.0,17737.7
01/03/2019,15,South,19910.0,20018.8
01/03/2019,16,Central,41322.0,40220.1
01/03/2019,16,MISO,79726.0,77811.5
01/03/2019,16,North,18556.0,17564.9
01/03/2019,16,South,19848.0,20026.6
01/03/2019,17,Central,41412.0,40334.9
01/03/2019,17,MISO,79802.0,77958.1
01/03/2019,17,North,18488.0,17576.5
01/03/2019,17,South,19902.0,20046.6
01/03/2019,18,Central,43130.0,42061.0
01/03/2019,18,MISO,82138.0,80456.5
01/03/2019,18,North,18874.0,18144.3
01/03/2019,18,South,20134.0,20251.2
01/03/2019,19,Central,45238.0,43958.7
01/03/2019,19,MISO,85925.0,84050.2
01/03/2019,19,North,19779.0,19050.8
01/03/2019,19,South,20908.0,21040.7
01/03/2019,20,Central,45123.0,43848.8
01/03/2019,20,MISO,86374.0,84175.3
01/03/2019,20,North,19847.0,19123.8
01/03/2019,20,South,21404.0,21202.7
01/03/2019,21,Central,44402.0,43234.8
01/03/2019,21,MISO,85091.0,82989.0
01/03/2019,21,North,19497.0,18787.1
01/03/2019,21,South,21192.0,20967.1
01/03/2019,22,Central,43174.0,42246.3
01/03/2019,22,MISO,82907.0,81104.6
01/03/2019,22,North,18990.0,18254.2
01/03/2019,22,South,20743.0,20604.1
01/03/2019,23,Central,41395.0,40564.1
01/03/2019,23,MISO,79741.0,78148.7
01/03/2019,23,North,18297.0,17557.1
01/03/2019,23,South,20049.0,20027.5
01/03/2019,24,Central,39287.0,38591.2
01/03/2019,24,MISO,75735.0,74331.6
01/03/2019,24,North,17391.0,16644.0
01/03/2019,24,South,19057.0,19096.4
01/04/2019,1,Central,37342.0,37043.4
01/04/2019,1,MISO,72669.0,71289.1
01/04/2019,1,North,16275.0,15947.3
01/04/2019,1,South,19052.0,18298.4
01/04/2019,2,Central,36381.0,36177.4
01/04/2019,2,MISO,70783.0,69318.1
01/04/2019,2,North,15758.0,15374.0
01/04/2019,2,South,18644.0,17766.8
01/04/2019,3,Central,35856.0,35675.6
01/04/2019,3,MISO,69755.0,68307.1
01/04/2019,3,North,15414.0,15016.5
01/04/2019,3,South,18485.0,17615.0
01/04/2019,4,Central,35686.0,35607.2
01/04/2019,4,MISO,69403.0,68080.7
01/04/2019,4,North,15256.0,14906.4
01/04/2019,4,South,18461.0,17567.1
01/04/2019,5,Central,36063.0,35931.4
01/04/2019,5,MISO,69940.0,68737.3
01/04/2019,5,North,15268.0,14966.5
01/04/2019,5,South,18609.0,17839.5
01/04/2019,6,Central,37030.0,37291.9
01/04/2019,6,MISO,71697.0,70841.9
01/04/2019,6,North,15572.0,15307.5
01/04/2019,6,South,19095.0,18242.5
01/04/2019,7,Central,39755.0,39689.5
01/04/2019,7,MISO,76444.0,75259.2
01/04/2019,7,North,16425.0,16247.7
01/04/2019,7,South,20264.0,19322.0
01/04/2019,8,Central,42398.0,42188.5
01/04/2019,8,MISO,82483.0,80566.2
01/04/2019,8,North,17986.0,17713.0
01/04/2019,8,South,22099.0,20664.7
01/04/2019,9,Central,42796.0,43130.6
01/04/2019,9,MISO,84313.0,83275.1
01/04/2019,9,North,18955.0,18694.9
01/04/2019,9,South,22562.0,21449.6
01/04/2019,10,Central,42501.0,43186.1
01/04/2019,10,MISO,83683.0,83167.1
01/04/2019,10,North,18741.0,18441.5
01/04/2019,10,South,22441.0,21539.5
01/04/2019,11,Central,42168.0,42988.2
01/04/2019,11,MISO,82810.0,82325.3
01/04/2019,11,North,18531.0,17903.9
01/04/2019,11,South,22111.0,21433.2
01/04/2019,12,Central,41679.0,42287.6
01/04/2019,12,MISO,81729.0,81006.5
01/04/2019,12,North,18369.0,17576.1
01/04/2019,12,South,21681.0,21142.9
01/04/2019,13,Central,41106.0,41477.2
01/04/2019,13,MISO,80402.0,79776.2
01/04/2019,13,North,18155.0,17520.0
01/04/2019,13,South,21141.0,20779.1
01/04/2019,14,Central,40507.0,40911.4
01/04/2019,14,MISO,79118.0,78390.0
01/04/2019,14,North,17910.0,17211.5
01/04/2019,14,South,20701.0,20267.1
01/04/2019,15,Central,39887.0,40360.9
01/04/2019,15,MISO,78115.0,77314.7
01/04/2019,15,North,17750.0,17026.6
01/04/2019,15,South,20478.0,19927.2
01/04/2019,16,Central,39277.0,39891.9
01/04/2019,16,MISO,77020.0,76304.6
01/04/2019,16,North,17538.0,16851.4
01/04/2019,16,South,20205.0,19561.3
01/04/2019,17,Central,39161.0,39601.0
01/04/2019,17,MISO,76715.0,75821.0
01/04/2019,17,North,17447.0,16903.4
01/04/2019,17,South,20107.0,19316.5
01/04/2019,18,Central,40651.0,40633.1
01/04/2019,18,MISO,78830.0,77434.4
01/04/2019,18,North,17842.0,17338.4
01/04/2019,18,South,20337.0,19462.9
01/04/2019,19,Central,42161.0,42052.9
01/04/2019,19,MISO,82217.0,80685.3
01/04/2019,19,North,18628.0,18165.9
01/04/2019,19,South,21428.0,20466.6
01/04/2019,20,Central,41663.0,41777.9
01/04/2019,20,MISO,82199.0,81066.8
01/04/2019,20,North,18464.0,18050.4
01/04/2019,20,South,22072.0,21238.5
01/04/2019,21,Central,41033.0,41027.0
01/04/2019,21,MISO,81085.0,80133.5
01/04/2019,21,North,18093.0,17778.4
01/04/2019,21,South,21959.0,21328.2
01/04/2019,22,Central,40184.0,40243.1
01/04/2019,22,MISO,79678.0,79087.7
01/04/2019,22,North,17717.0,17479.9
01/04/2019,22,South,21777.0,21364.7
01/04/2019,23,Central,38765.0,38998.8
