Area Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
United States,"201,298,000","203,798,722","206,817,509","209,274,882","211,349,205","213,333,635","215,456,585","217,553,859","219,760,875","222,098,244","224,568,579","227,224,719","229,465,744","231,664,432","233,792,014","235,824,907","237,923,734","240,132,831","242,288,936","244,499,004","246,819,222","249,622,814","252,980,941","256,514,224","259,918,588","263,125,821","266,278,393","269,394,284","272,646,925","275,854,104","279,040,168","282,162,411","284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529"
Alabama,"3,440,000","3,449,846","3,497,452","3,540,080","3,580,769","3,627,805","3,680,533","3,737,204","3,782,736","3,834,120","3,869,444","3,900,368","3,918,533","3,925,263","3,934,100","3,951,824","3,972,520","3,991,569","4,015,262","4,023,842","4,030,219","4,050,055","4,099,156","4,154,014","4,214,202","4,260,229","4,296,800","4,331,102","4,367,935","4,404,701","4,430,141","4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938"
Alaska,"296,000","304,328","316,494","326,494","333,232","344,696","370,973","393,115","397,363","402,191","403,544","405,315","418,493","449,606","488,418","513,704","532,496","544,269","539,310","541,984","547,160","553,290","570,193","588,736","599,432","603,308","604,412","608,569","612,968","619,932","624,779","627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895"
Arizona,"1,737,000","1,794,912","1,896,108","2,008,847","2,125,281","2,224,342","2,286,348","2,347,976","2,427,310","2,517,852","2,638,582","2,737,774","2,810,108","2,889,860","2,968,924","3,067,134","3,183,539","3,308,261","3,437,103","3,535,183","3,622,184","3,684,097","3,788,576","3,915,740","4,065,440","4,245,089","4,432,499","4,586,940","4,736,990","4,883,342","5,023,823","5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154"
Arkansas,"1,913,000","1,930,077","1,972,028","2,018,116","2,058,491","2,100,385","2,158,291","2,168,688","2,207,228","2,241,019","2,269,115","2,288,738","2,293,204","2,294,254","2,305,766","2,319,767","2,327,046","2,331,988","2,342,357","2,342,655","2,346,354","2,356,586","2,383,144","2,415,984","2,456,303","2,494,019","2,535,399","2,572,109","2,601,090","2,626,289","2,651,860","2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843"
California,"19,711,000","20,023,181","20,345,575","20,584,794","20,867,737","21,172,548","21,536,715","21,934,505","22,350,247","22,838,960","23,255,069","23,800,800","24,285,933","24,820,007","25,360,023","25,844,397","26,441,107","27,102,238","27,777,160","28,464,250","29,218,165","29,959,515","30,470,736","30,974,659","31,274,928","31,484,435","31,696,582","32,018,834","32,486,010","32,987,675","33,499,204","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229"
Colorado,"2,166,000","2,223,979","2,303,502","2,404,576","2,495,803","2,541,318","2,586,144","2,632,244","2,696,007","2,766,725","2,849,181","2,908,803","2,977,899","3,061,562","3,133,634","3,169,995","3,208,726","3,237,448","3,260,477","3,262,280","3,275,815","3,307,618","3,387,119","3,495,939","3,613,734","3,724,168","3,826,653","3,919,972","4,018,293","4,116,639","4,226,018","4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195"
Connecticut,"3,000,000","3,038,782","3,061,448","3,069,617","3,069,140","3,075,784","3,084,726","3,085,984","3,088,729","3,094,839","3,099,907","3,113,174","3,128,837","3,139,014","3,162,355","3,180,014","3,201,131","3,223,741","3,247,290","3,271,954","3,283,404","3,291,967","3,302,895","3,300,712","3,309,175","3,316,121","3,324,144","3,336,685","3,349,348","3,365,352","3,386,401","3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807"
Delaware,"540,000","550,332","565,207","573,821","579,078","583,150","588,756","592,755","594,821","598,188","598,830","594,919","595,974","599,148","605,459","611,565","618,279","627,559","636,946","647,621","658,274","669,567","683,080","694,925","706,378","717,545","729,734","740,977","751,487","763,335","774,990","786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730"
District of Columbia,"762,000","755,087","750,641","743,775","733,674","720,755","710,308","696,305","681,768","670,046","655,616","638,284","636,893","634,174","632,433","633,382","634,549","638,269","636,930","630,432","624,168","605,321","600,870","597,565","595,301","589,239","580,517","572,377","567,736","565,230","570,213","572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228"
