State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10706,12000,12759,18342,18357,17357,18300,20551,23587,22506,21187,14994,13291,10212,12204,16974,17922,19374,18416,15866,13298,14037,12913,15685,16965,16078,17796,18629,19790,23807,25154,23615,24152,22743
AL,112809,118021,125564,112682,137992,121888,121238,144384,129673,131856,132471,158182,164946,181706,166734,184701,160994,174751,148341,190737,238766,213355,265453,281940,287856,247353,213815,229572,213088,302389,251667,255590,255014,268147,332532,320101,323372,299675,317065,290195,263303,251523,252689,283428,290697,279600,266153,228703,234001,264530,242243,255849,242204,313681,270753,258955,230734,258548,279558,278138
AR,48104,51144,47637,41897,42732,46425,51697,46124,64986,64813,56933,53579,53917,81723,81339,71589,62300,69746,77088,80773,69996,68190,77582,95310,91421,109186,91234,86688,92546,119759,109997,109823,112587,133646,119581,117474,118017,124045,114927,110822,108634,94001,108618,107905,112915,112661,100949,121735,124882,125695,126235,124987,114237,121335,119830,117840,115418,116688,126114,133499
AZ,36181,35083,34533,34861,34271,50095,58060,56423,63456,67840,68919,74136,75189,79348,82058,80897,84428,75681,79870,83414,120006,92565,94926,175993,188831,171680,175103,123114,98749,101498,94753,88774,87528,86666,93513,103931,112164,141607,126648,114877,100776,90514,86880,83080,81377,78334,80773,83251,96752,80898,84800,112203,97958,98958,120249,128906,138462,149412,155971,148135
CA,270161,248178,329046,360333,331757,418518,375877,473192,397366,544918,521978,533790,472312,553162,645073,578578,422852,338073,576601,559806,591928,502232,698981,807128,693614,593488,666981,522673,512100,738917,669326,653513,642293,820783,633599,846185,817736,760278,832978,760009,736594,608049,676285,719475,697561,741491,822369,632360,604499,647227,714484,834829,701339,742339,750065,737335,929428,1121857,1025835,1139571
CO,16914,15464,17144,17410,17865,16369,17380,16908,17248,18181,21329,25526,22935,23623,24207,24728,23636,23658,29391,33170,28582,28764,31887,35478,39290,41761,43869,32368,32338,30277,26402,31891,27778,31618,27344,33514,30472,33304,26261,28038,27076,23726,21082,21882,22470,32984,45459,54146,80070,80116,83576,106250,105626,119291,126843,126443,149410,153133,156708,166757
CT,17406,17076,15937,16253,16703,15500,16243,18072,18657,19701,19293,20206,22712,21870,22509,22237,23862,24105,26391,29359,43748,42867,41444,48187,41070,40282,35510,30809,34409,36042,34712,34896,38926,39111,40443,46144,56055,50710,49188,49290,50578,29813,28314,31229,30189,25728,25701,24031,26358,29529,30357,30760,26910,30046,32675,33234,34248,32883,37566,37159
DC,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,2849,2311,3654,2563,3226,3327,3047,2226,2378,2511,1283,1345,1412,1946,1849,1851,1922,1378,1222,1259,1354,866,881,926,943,47,52,55,65,49,114,290,285,305,344,824,1107,1316,1603,2002
DE,4982,5101,5134,5356,5510,5577,5852,5783,6594,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2516,1653,1734,1784,2492,2422,2476,2642,2203,1936,2001,2290,1325,1314,1401,1435,955,872,1531,2952,3577,3838,4172,3581,3795,4224,3517,3105,3268,3388,3609
FL,35680,34417,35826,38613,39016,39916,42760,44550,49556,51489,51035,49968,54389,56250,52429,50007,56507,59953,65357,69419,90049,83117,104674,91705,108740,110698,116356,107606,113802,232261,198986,212955,230779,217028,215563,220211,240343,231308,205485,204114,194952,158039,174463,188655,179754,184304,186849,191797,195232,213645,230259,227710,223034,234142,231318,223761,223405,236674,247000,248128
GA,96016,94590,96771,103171,118296,108022,109456,109475,106371,105812,98222,109007,114745,125605,121581,123427,135157,136122,138170,149144,144038,122710,143870,151109,159451,146207,141713,146038,138695,218301,235499,226913,234484,239997,240827,249118,256860,262479,256573,231115,222186,192060,283704,221665,226890,216430,207730,201333,174517,195374,220529,218530,206785,248842,267131,269418,282185,274842,288096,301573
HI,292,258,214,446,1429,1265,1309,1389,1657,1773,1559,1283,1491,1528,1550,1498,1663,1355,1143,1258,12808,13571,13379,14920,15372,15307,17315,18834,20427,28875,27937,27516,26800,27829,25405,24608,24088,22502,21657,21767,20386,12389,10452,13310,13769,12937,14001,15035,15921,15815,15253,16647,18206,22742,24424,24957,27593,26964,26299,25274
IA,15884,15713,15580,13403,12798,15160,14994,14243,16244,15250,16080,16122,17235,16691,16976,17029,15187,17088,19287,18947,58556,65235,66306,72311,77577,78655,107397,118754,122555,91329,88502,91919,100239,106281,114015,113120,119723,110180,107977,114185,109372,105614,113940,135112,174335,215149,271182,342569,413336,547827,618615,668883,677166,703984,724522,762986,796545,830271,857377,892115
ID,77688,70403,73984,73227,76892,79778,81379,82252,80804,76228,85735,89445,92776,97216,111472,118011,121380,85968,119334,113729,113407,115694,137242,152250,156347,132508,146627,101722,87512,124650,119510,116020,95133,126225,106699,139907,164235,179342,160202,167747,141448,105045,113779,109553,112379,121084,146507,125621,133541,134502,133887,178552,156517,140165,155994,153439,151417,172887,178789,169062
IL,33020,32237,32864,34418,34491,35036,37080,37444,40029,41716,41064,40628,41490,43861,43952,42898,47471,51314,62925,64626,92366,103172,117555,145584,145656,150398,160460,171863,180027,149116,116949,126106,134421,121027,122485,120808,88201,102905,105215,104015,109798,113176,140267,159432,154366,138338,136528,168590,199719,251022,298295,313512,325082,355226,367756,353832,372881,375921,356868,369389
IN,24556,24199,24089,24007,23168,23060,24315,27363,28677,29971,28494,27156,30826,32102,32017,31342,36021,38768,45814,51858,56145,59181,58101,63692,60540,69980,72081,76608,80322,69238,60100,60995,61853,52542,51415,52503,48051,45750,44182,43124,44023,49614,52532,55292,54883,58589,48968,72434,131764,157512,205601,222942,197464,213409,226334,241104,255972,258568,268948,254849
KS,4123,3855,3670,3798,3674,3499,3529,3349,3459,3280,3730,3941,5702,6031,5915,5811,6526,6852,7540,7928,9088,8562,11049,11519,14177,14756,21920,21370,22757,18659,14891,15626,15374,15474,15279,15090,12575,11885,11658,11528,11914,13084,22196,26498,28341,31101,39697,49690,85267,91075,103509,108558,113449,154086,179368,176897,205148,247706,252305,272544
KY,50751,48648,51423,47591,47022,47438,49311,61073,53358,51326,57023,61912,66566,67629,66669,66857,68110,64140,70514,82531,55822,55135,69360,64980,74709,69540,63267,60441,56441,73036,50476,56629,57999,47980,56670,51206,55143,47970,43480,38204,36052,53193,62858,65615,69142,67438,62393,56251,61024,72836,70808,78517,68403,80662,81689,75292,76930,89594,90165,89191
LA,38992,37174,36785,39147,39291,38299,39754,37685,40791,40698,41620,41912,44819,45748,44928,42358,45170,46692,47825,44717,64707,68263,69667,74654,78627,78537,99811,100062,103943,129286,125199,127508,130798,137491,147246,151598,152443,149628,147482,148307,142328,136086,140938,148609,185640,151309,149821,150497,109774,107145,113294,112139,109589,126191,149561,132249,154742,142085,143244,133667
MA,53354,52769,53590,52762,54148,55636,58117,58183,62101,64611,65043,61247,59302,56501,56959,53325,60502,63357,67677,74298,72495,73163,66640,78595,65032,65453,69642,60278,61835,66832,65263,66582,68433,69749,73476,72548,78433,72315,66413,65168,69462,47998,46722,50339,51072,40797,45556,38239,42737,49336,50648,53116,49978,57032,62219,62787,65614,68460,75286,74169
MD,38447,35723,36002,35457,37440,39019,42103,49500,47752,45515,51782,49264,56117,55059,52381,55834,56373,59569,59254,66329,45823,45372,51598,52084,60086,55147,54645,47753,46241,55480,50546,41675,46672,49263,52990,51811,66005,52920,52451,50675,53885,33247,38064,54135,53426,43643,45595,40873,44835,48414,48686,57804,48883,53519,53166,47614,48236,55334,65957,55546
ME,59784,56575,55672,58874,55936,51675,55812,58337,59840,61658,59420,55423,59882,64648,64263,60423,70099,72689,74889,76896,121124,129782,126910,140252,139329,136042,122771,116377,118029,154425,151630,157261,159035,158153,156736,160885,167218,161828,151240,159186,163025,146146,140385,132344,136769,159674,152339,155620,182576,148204,159001,161563,157341,161720,157454,161418,141939,148022,149414,148409
MI,59100,55209,53745,51374,52769,55858,56828,56539,56320,56624,54309,53960,56203,47225,50587,47458,52481,54719,66270,73877,103039,108231,107422,117776,110270,110639,113125,112079,118354,111822,97986,105361,108477,100474,102457,105715,122454,113741,105953,107946,110506,94158,89210,103312,108765,116821,117111,133054,146310,131657,148434,162105,162394,188635,202485,222957,216292,225338,236433,232837
MN,34957,32478,34382,32328,33210,34786,35031,32385,33828,34190,32822,33768,35695,36452,35899,36949,35632,36725,50237,53947,54794,56592,58930,62650,66000,66473,63838,58913,60210,63542,59880,63243,69504,70105,72105,76096,80512,83512,80517,95416,103427,108950,107216,113752,125527,142459,164929,185053,218974,262847,291072,310099,306238,305495,339733,344806,349766,361559,364063,363277
MO,41442,45068,40239,33299,31229,35404,33010,31558,39086,39601,33344,30407,29355,43807,44031,40414,39537,37981,49657,55940,30880,30527,43880,44037,47028,62419,49316,40796,43057,36263,40959,30538,34756,49981,35896,36252,30767,30753,37398,32497,21679,32926,35225,31603,40841,52554,45213,65428,89945,101279,102435,103120,91813,109991,112955,105367,105508,116362,130773,139690
MS,46565,45532,44673,39154,38448,37759,37816,34261,35452,34609,33527,32841,32432,32195,31279,31152,34819,36230,37576,37510,38097,41070,44643,45071,50468,50892,49196,45439,47412,76403,84868,89510,90830,92435,94862,94192,85740,84291,64175,65132,75389,56085,49641,45346,61251,62678,63223,66060,50044,55625,63661,66403,79602,64706,64569,60390,78068,70950,76541,66398
MT,69936,76550,74894,70429,79375,95505,90332,98163,100651,106143,98397,107251,104348,84637,106573,112007,135822,97331,132188,119406,114608,131005,126659,135686,130528,120930,133914,111156,103886,110933,123487,142368,95906,108980,94511,127550,158574,153337,128313,157031,113793,80568,108642,100370,101507,113989,122240,117750,123136,113798,114783,140363,124377,114499,134146,125018,128093,136239,143004,129188
NC,127507,120692,127402,116481,131745,123608,114335,118616,117146,119495,111796,128148,135756,142789,139607,139828,136973,146565,159172,191639,135910,108155,143303,149635,159880,136770,114112,134887,115314,167662,168721,137282,159698,157307,186807,168712,171371,164819,159627,139731,136234,127348,125225,181552,139795,145275,136769,113126,143056,148863,158391,156898,153167,192348,173986,170008,199518,215572,248815,254003
ND,11880,15420,14054,15915,20014,26438,20421,29255,26339,31071,29922,34285,32507,25135,28922,35262,34411,21338,31963,28886,28555,26037,30380,29454,30082,28393,30017,26159,25131,25388,22169,23205,22246,19321,24581,30985,36360,38466,28369,31608,27268,20662,23405,26158,25922,23400,26086,43992,58719,85152,109146,132334,127540,125285,138233,141393,162091,211258,208200,210222
NE,13425,12832,12973,13199,12801,13563,13955,13879,14714,14532,15950,15845,16822,16912,16161,15399,16378,16136,16096,16832,19778,17814,19000,20038,21233,23754,25882,23743,21759,20344,18296,17612,19619,22322,29349,46923,53332,62387,64577,67772,67458,70152,70412,73956,91627,94833,103072,129955,177032,178841,280420,297830,273441,277574,306467,315236,328233,352595,355655,367195
