State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,296,344,398,483,535,618,693,742,839,938,1106,1299,1349,1502,1615,2039,2240,2478,2581,2484,2577,2915,3261,3482,3665,3988,4048,3962,4045,4142,4254,4256,4339,4375,4533,4632,4780,4841,5095,5293,5310,5454,5465,5564,5788,5913,6182,6327,6326,6270,6247,6320,6416,6268,6165,6159,6123,6186,5972,5819
AL,15485,16009,17812,19265,21218,23230,24742,26427,29657,33001,34713,35803,39400,42711,43221,40375,44314,47645,49530,50220,50367,49878,45051,45087,49849,50166,51597,54703,56638,58187,59926,61227,62167,65058,67581,70007,73104,74554,79173,80401,83524,79358,83067,83844,86871,89202,90678,91828,89707,82845,90863,88995,86183,87852,90494,88846,88225,86242,90280,88095
AR,5662,5496,6312,7028,8055,9051,9815,10518,11578,12624,13444,14265,15647,16871,16917,18128,20576,22997,23994,24717,26499,23295,22277,23198,24591,23833,22932,24196,25273,26085,27365,28440,28451,31663,32619,34671,36137,36858,39315,39789,41611,41732,42450,43108,43672,46165,46636,47055,46135,43173,48194,47928,46860,46683,47080,46465,46188,46086,49603,48093
AZ,6138,6662,7302,7863,8381,8605,9570,10024,10737,12447,13769,15231,17393,19125,20283,21168,22128,23315,24028,26052,26762,28826,26863,27883,29747,33001,33985,36639,38916,40748,41470,41848,43651,44408,47282,48589,52085,54456,55843,57662,61130,62274,62601,64080,66933,69391,73253,77193,76268,73433,72833,74944,75063,75662,76298,77349,78238,77646,78346,77929
CA,57270,62386,64910,69530,76988,82687,90913,96983,104615,111468,118645,125835,135301,140046,131443,148421,156018,158800,162647,169590,167567,170414,165843,165199,179453,184331,185419,192800,200637,204139,211093,208650,213447,210500,213684,212605,218112,227880,236434,234831,244057,247759,235213,243221,252026,254250,262959,264235,268155,259584,258531,261942,259538,261332,262585,261170,256847,257268,255224,250379
CO,4837,5190,5491,6060,6599,6938,7646,8209,9039,9892,10787,11712,12886,14007,14921,15825,16706,17836,18908,20153,20870,23779,23692,24167,25713,26674,27161,28071,29335,30139,30795,31457,31822,32958,34502,35317,37073,38069,39574,40571,43020,44236,45937,46495,46724,48353,49734,51299,52142,51036,52918,53458,53685,53442,53397,54116,54802,54830,56450,56521
CT,7386,7843,8441,9043,9766,10547,11662,12636,13817,15068,16139,16931,18240,19423,18859,18499,19434,19991,20581,21104,21201,22457,22099,23006,23104,23482,24526,25721,26923,27365,27187,27171,27127,27238,28026,27970,28417,28432,28956,29803,29952,30541,31005,31830,32215,33095,31677,34129,30957,29716,30392,29859,29492,29825,29354,29476,28931,28136,28834,27900
DC,2654,2839,2929,3105,3419,3773,4065,4266,4637,5012,5392,5575,5727,6126,5535,5796,6011,6263,6484,6602,7004,7031,7245,7618,7936,8214,8588,9007,9380,9653,9848,10195,10043,10375,10295,10316,10137,10107,10281,10418,10616,10880,11129,10946,11415,11816,11396,12110,11616,11434,11877,11562,11259,11086,11194,11291,11394,10916,11358,11028
DE,1720,1740,1895,2159,2401,2637,3062,3302,4014,4348,4585,4687,5066,5437,5283,5149,5360,5477,5679,5905,5819,5180,5063,5553,6229,6315,6824,7015,7543,8065,8284,8536,8532,9121,9299,9580,9641,10122,10398,10552,11274,11379,12019,12600,11761,12137,11555,11869,11749,11258,11606,11483,11519,11348,11338,11498,11258,11129,11773,11469
FL,16807,18378,20872,22936,25503,28100,31832,34969,39715,44851,50219,55265,61449,69491,69016,70954,73977,79357,84710,86621,90766,93177,92539,96488,103531,111168,116675,122468,130241,138474,143535,146336,147010,152748,159544,167492,171832,175041,187355,187270,195843,200752,210474,217379,218584,224977,228220,231085,226173,224750,231210,225090,220674,221920,226078,235599,235722,233155,238565,240348
GA,11990,12520,14068,14997,16383,18398,20637,22237,25610,28590,31500,33591,36214,39808,39552,41549,44304,47407,49154,48818,51209,52434,52609,54243,60468,63697,68490,71680,74346,77060,80440,81539,83391,89191,89913,96192,101307,102250,110720,112656,119185,117790,123789,123677,129466,132265,134834,137454,135174,130766,140672,136371,130979,130497,135790,135878,138112,133457,139866,139301
