State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,27139,31895,34182,32387,32246,34379,36233,43862,47177,56517,76386,85018,83425,71354,76803,79665,89123,94045,97936,85842,89804,101238,102239,115944,142997,153931,150698,133896,150456,173382,168892,156413,151927,154297,157266,173607,167528,188588,192174,207434,219733,205464,209351,219252,265820,263684,265654,249874,214855,189767,194577,184555,167087,151959,153287,160653,152473,155378,162228,162801
AL,176015,172023,179802,189395,190545,200727,206854,216031,242554,255625,268489,281247,300827,327548,350726,363127,373155,395543,405416,353042,349881,342116,333176,324451,337698,334813,349194,374883,377985,401324,397799,406124,417482,413632,431784,454692,444370,439699,447984,453914,472549,445444,472526,458056,493167,489519,496081,499523,467593,459056,475331,474771,468816,463104,462453,477809,501938,496081,486046,497049
AR,104652,114214,116715,123586,130214,129593,136348,139183,153822,159784,166549,173379,193085,209852,210118,209528,216054,222603,229577,200014,204275,208967,208325,195411,207483,203444,207724,216907,226684,233710,228101,229427,227667,238191,255166,260424,265553,273172,275696,293044,293838,277440,285354,285259,288208,288737,288760,292703,285202,285162,287568,284546,275070,273950,277631,275130,281967,283888,284863,287251
AZ,116689,121239,129736,136740,143720,139441,148689,159735,183623,192910,194132,204293,225168,243872,233258,230139,235052,253262,267033,274217,265931,269191,261440,263390,279869,293447,299713,312326,322840,322219,325563,332408,336940,352581,366258,372801,394105,394605,424601,447923,459904,475183,485241,500087,510232,532787,549475,541658,505233,476281,510502,507324,497062,505257,511680,521172,535770,539103,549092,563626
CA,1224448,1292718,1316805,1354256,1421236,1491493,1592738,1654402,1779333,1829888,1832707,1909144,1932085,1987135,1899639,1955901,2065541,2207003,2373098,2354473,2363837,2345832,2230899,2253957,2373953,2364497,2447497,2578470,2730174,2817092,2834517,2691409,2681192,2630793,2752695,2817126,2866143,2799926,2807883,2869691,3017945,2967388,3130834,3041509,3194101,3280275,3328715,3355466,3145159,3063147,2940041,2837040,2782196,2784101,2810010,2875989,2985445,3065912,3078310,3073275
CO,104450,114878,122860,129258,133723,138618,147575,154378,172368,182623,195193,206248,224073,234426,231020,237340,250996,262260,279228,269764,251120,249246,259137,255521,266929,277566,278417,281120,272773,266101,271483,273879,278016,303181,308187,319506,328228,326350,340751,361725,366112,386390,383293,378054,416506,423029,432161,441970,425042,414341,424903,417816,414507,415185,428100,425029,434257,438842,453609,462055
CT,116898,125496,130768,134750,137397,140533,150121,155282,168490,174636,182566,184357,194609,201251,198339,196470,201295,204071,205676,194654,185174,181361,186080,187348,195062,196759,200195,209097,216609,218201,205529,204102,205609,206060,205590,201738,213178,213989,216761,235201,227972,237677,236682,248599,284567,262559,256729,257284,242787,239060,240243,235644,229744,225819,226201,227826,229708,232828,238166,233834
DC,28823,29581,29525,29602,31091,33820,33780,32459,32904,32675,32848,33280,33608,38665,39736,37069,38019,37639,35172,30307,27391,29319,37791,29066,28194,28202,30415,28683,29823,29281,27450,27452,27765,28147,27395,27211,26309,26790,26047,26684,27860,25953,24665,25449,27021,23517,21479,21279,18804,19689,19203,21212,19113,19421,20903,20273,21248,18441,20300,22094
DE,43735,44020,41960,42957,43653,43432,44193,45334,51755,52631,50326,50851,53261,56942,56886,55048,57596,56927,54928,52434,53979,51388,49564,55479,57524,56930,60237,65275,64373,65685,62955,70337,65057,67786,63155,59981,66267,64816,65432,67935,70445,65428,68665,67453,68851,72656,74414,74852,71202,68879,70499,65289,66155,63903,65228,69683,73770,76876,81320,84552
FL,348001,358850,407087,415833,432389,456712,473137,495399,548917,582377,608352,641555,706248,772004,738593,747689,777288,833098,876871,932217,950588,955122,937880,941159,926847,957710,1008847,1066924,1129029,1139593,1137421,1077908,1113436,1100343,1179540,1211339,1221305,1264807,1284397,1325493,1404075,1383851,1415516,1398524,1546545,1590010,1622062,1596523,1496006,1418422,1560518,1536681,1514585,1538417,1558717,1616723,1654778,1691204,1775231,1748059
